"Wiss_Gem"	"Wiss_Bet"	"Gem_Bet"
-9	-9	-6
1	1	1
1	1	1
1	1	1
1	1	1
1	-3	1
5	1	6
-5	-6	-6
1	1	1
-3	1	-3
1	1	1
1	-4	-4
1	1	1
6	1	-7
1	1	1
-5	1	5
1	1	1
-5	-5	1
-6	1	6
7	-5	-6
1	1	1
1	1	1
-7	-7	1
5	1	-6
1	1	-6
1	1	1
4	1	1
1	4	1
1	1	1
1	1	1
5	6	3
1	-7	-7
6	1	-6
3	3	-3
4	6	-7
-4	-4	-7
-7	-7	5
1	1	1
1	-7	-7
1	1	1
1	-2	-4
1	-8	-8
6	1	-6
-5	-5	1
6	7	7
1	1	1
3	-3	-4
1	-7	1
5	-6	-5
6	1	-8
-3	-3	-4
1	1	1
1	1	1
1	-5	1
1	1	-7
1	1	1
-9	-7	1
1	1	1
1	1	6
9	1	1
-6	-6	6
7	-7	-7
1	1	1
1	-8	-8
-4	1	1
1	1	-4
-7	6	7
1	1	1
1	1	1
7	7	1
1	1	1
1	1	1
5	4	-3
-4	1	7
5	1	-7
1	1	1
1	-7	-8
6	5	-5
1	1	1
-7	-6	1
-7	1	7
1	1	-5
1	1	-7
1	1	1
-3	3	4
1	-5	1
-6	1	6
7	-6	-7
1	-6	-4
6	-7	1
6	-6	-7
1	1	-7
-4	-4	-4
1	-6	-7
1	1	1
-4	1	4
-4	-4	-4
-7	-7	-7
1	1	1
1	-5	-5
1	1	1
2	7	-4
1	1	-7
1	1	1
-7	9	9
3	1	1
-4	1	3
1	-7	-7
1	1	1
1	-5	-7
4	-4	-4
1	1	1
1	7	8
1	1	1
5	4	1
5	-6	-6
1	-7	-7
1	-6	-5
1	1	1
7	6	1
7	-7	-7
4	7	1
1	1	-6
-9	-7	1
1	1	1
6	1	-5
1	1	1
1	1	1
1	1	1
5	1	-4
7	7	1
6	5	-6
1	1	1
3	-6	-4
7	1	-7
-5	1	-7
7	-7	1
1	1	1
6	5	-5
-5	5	5
7	8	8
