"Klima_BioV"	"Klima_KlW"	"BioV_KlW"
-6	-8	-8
-7	1	1
6	5	1
1	1	1
1	1	1
1	1	1
1	5	1
7	-4	-8
-4	1	4
2	-6	-5
1	1	1
4	1	-4
1	1	1
-6	1	6
1	5	1
1	1	1
1	1	1
1	1	1
6	7	1
1	-5	-4
1	1	1
1	1	1
1	7	7
1	1	1
1	1	1
1	1	1
4	3	3
1	1	-7
-7	5	6
1	1	1
1	5	-5
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
-6	1	6
1	-7	-9
1	1	1
7	6	1
1	1	1
1	-7	-7
-5	-7	-4
-6	1	7
7	7	1
6	1	1
1	1	1
4	-4	1
1	5	1
8	4	-5
-6	6	6
1	1	1
2	3	1
4	7	1
1	1	-6
1	1	1
-7	1	-7
5	1	-6
-6	1	7
-6	6	7
1	1	1
7	4	-7
1	1	1
1	1	-9
1	4	1
1	1	1
-4	1	4
1	1	1
1	1	1
7	1	-7
1	1	1
5	1	-5
1	3	1
-2	-5	-5
1	-4	-4
1	1	1
1	1	1
1	1	1
6	7	4
1	6	-6
-6	-6	1
1	1	-7
1	1	1
1	1	1
6	5	-7
1	1	1
1	1	1
-7	-7	-6
1	-4	-5
1	4	-5
1	-4	-4
2	4	4
4	9	9
7	1	1
1	1	1
4	1	-4
5	8	7
-6	7	6
1	1	1
1	1	1
1	1	1
1	4	1
1	-7	-8
1	1	-6
1	7	8
1	1	1
5	4	1
6	5	1
1	1	1
1	1	1
1	-6	-6
1	1	1
8	7	5
1	1	1
1	1	1
5	6	5
1	3	3
1	6	1
1	1	1
1	6	1
1	1	1
1	1	-4
1	1	-4
9	7	-9
1	1	1
1	1	1
-6	7	6
1	1	1
7	5	-6
4	1	1
1	4	-4
-5	1	5
7	1	-7
9	9	1
1	1	1
9	1	-9
-6	-6	6
1	1	-4
1	-3	-5
9	7	-7
6	7	-5
